Source_File,Run_Name,ISP_Loading_%,Total_Reads,Instrument,Chip_Barcode,Chip_Lot_Number,Chip_Wafer,Cleaning_Solution_Lot,ExT_Sequencing_Reagent_Lot,ExT_Wash_Solution_Lot,Run_Date_raw,Run_Date,Usable_Reads_%,Mean_Read_Length_bp,Median_Read_Length_bp,Mode_bp,Chef_Reagent_Lot,Chef_Solution_Lot,robust_median,robust_mad,robust_sigma,robust_z,H_outlier
Auto_user_S5-00622-515-LIB-OCT-2025-398_266 (1).pdf,Auto user S5-00622-515-LIB-OCT-2025-398 266,83,68,S5-00622,DALI02504,Q4PA01,4.0,2852502,2896638,3087052,"Oct. 30, 2025, 3:25 p.m.",2025-10-30 15:25:00,68.0,243.0,245.0,43.0,3077140,3109381,64.5,1.0,1.4826,2.3607176581680833,False
Auto_user_S5-00622-516-LIB-NOV-2025-428_267 (1).pdf,Auto user S5-00622-516-LIB-NOV-2025-428 267,86,62,S5-00622,DALI02450,Q4PA01,3.0,3045091,3051192,3087052,"Nov. 12, 2025, 4:55 p.m.",2025-11-12 16:55:00,62.0,254.0,252.0,44.0,3077140,3050961,64.0,1.5,2.2239,-0.8993210126354603,False
Auto_user_S5-00622-517-LIB-NOV-2025-432_270 (1).pdf,Auto user S5-00622-517-LIB-NOV-2025-432 270,84,63,S5-00622,DALI02496,Q4PA01,4.0,3045091,2896638,3087052,"Nov. 13, 2025, 3:41 p.m.",2025-11-13 15:41:00,63.0,249.0,244.0,43.0,3077140,3050961,64.0,1.0,1.4826,-0.6744907594765952,False
Auto_user_S5-00622-518_272 (1).pdf,Auto user S5-00622-518 272,86,0,S5-00622,DALI02499,Q4PA01,,3045091,3051192,3087052,"Nov. 14, 2025, 10:22 a.m.",2025-11-14 10:22:00,0.0,,,,,,64.0,1.0,1.4826,-43.16740860650209,True
Auto_user_S5-00622-519-LIB-NOV-2025-436_273 (1).pdf,Auto user S5-00622-519-LIB-NOV-2025-436 273,88,67,S5-00622,DALI02494,Q4PA01,4.0,3045091,2896638,3087052,"Nov. 15, 2025, 4:15 p.m.",2025-11-15 16:15:00,67.0,265.0,270.0,44.0,3077140,3050961,64.0,1.5,2.2239,1.3489815189531904,False
Auto_user_S5-00622-520-LIB-NOV-2025-441_274 (1).pdf,Auto user S5-00622-520-LIB-NOV-2025-441 274,83,67,S5-00622,DALI02478,Q4PA01,4.0,3032377,3051192,3087052,"Nov. 19, 2025, 3:34 p.m.",2025-11-19 15:34:00,67.0,266.0,267.0,43.0,3077140,3050961,64.0,2.0,2.9652,1.011736139214893,False
Auto_user_S5-00622-521-LIB-NOV-2025-442_275 (1).pdf,Auto user S5-00622-521-LIB-NOV-2025-442 275,84,66,S5-00622,DALI02497,Q4PA01,4.0,3032377,3051192,3087052,"Nov. 20, 2025, 12:26 p.m.",2025-11-20 12:26:00,66.0,257.0,258.0,44.0,3077140,3050961,64.0,2.0,2.9652,0.6744907594765952,False
Auto_user_S5-00622-523-LIB-LT02-NOV-2025-453_277 (2).pdf,Auto user S5-00622-523-LIB-LT02-NOV-2025-453 277,87,68,S5-00622,DALE00658,Q42M81,14.0,3032377,2896638,3087052,"Nov. 25, 2025, 4:17 p.m.",2025-11-25 16:17:00,68.0,262.0,267.0,43.0,3077140,3105205,65.0,2.5,3.7064999999999997,0.8093889113719143,False
Auto_user_S5-00622-523-LIB-LT02-NOV-2025-453_277 (1) (1).pdf,Auto user S5-00622-523-LIB-LT02-NOV-2025-453 277,87,68,S5-00622,DALE00658,Q42M81,14.0,3032377,2896638,3087052,"Nov. 25, 2025, 4:17 p.m.",2025-11-25 16:17:00,68.0,262.0,267.0,43.0,3077140,3105205,66.5,1.5,2.2239,0.6744907594765952,False
Auto_user_S5-00622-524-LIB-LT01-DEC-2025-462_278 (1).pdf,Auto user S5-00622-524-LIB-LT01-DEC-2025-462 278,91,61,S5-00622,DALF00095,Q48H89,3.0,3032377,2896638,3087052,"Dec. 3, 2025, 6:54 p.m.",2025-12-03 18:54:00,61.0,286.0,275.0,46.0,3077140,3105205,66.5,1.5,2.2239,-2.4731327847475155,False
Auto_user_S5-00622-525-LIB-DEC-2025-466_279 (1).pdf,Auto user S5-00622-525-LIB-DEC-2025-466 279,87,63,S5-00622,DALF00104,Q48H89,3.0,3032377,2896638,3087052,"Dec. 5, 2025, 3:53 p.m.",2025-12-05 15:53:00,63.0,267.0,268.0,44.0,3077140,3105205,64.5,2.5,3.7064999999999997,-0.40469445568595713,False
Auto_user_S5-00622-526-LIB-LT03-DEC-2025-472_281 (1).pdf,Auto user S5-00622-526-LIB-LT03-DEC-2025-472 281,88,62,S5-00622,DALF00125,Q48H89,3.0,3032377,3051192,3087052,"Dec. 11, 2025, 3:40 p.m.",2025-12-11 15:40:00,62.0,236.0,222.0,46.0,3077140,3105205,64.5,2.5,3.7064999999999997,-0.6744907594765952,False
